t	i_ind	j_ind	S1	S2
7.4	1	3	210.5	1008.06
7.4	1	4	207.843	875.013
7.4	2	0	6	911.371
7.4	2	1	69	401.561
7.4	2	2	8.5	1048.97
7.4	2	3	4.5	613.424
7.4	2	4	94.5	675.622
7.4	3	0	9.5	1191.36
7.4	3	1	6.5	817.624
7.4	3	2	5	1036.72
7.4	3	3	358.5	494.391
7.4	3	4	4.5	1012.08
7.4	4	0	300	946.766
7.4	4	1	54.5	633.501
7.4	4	2	262.5	1145.22
7.4	4	3	141	426.679
7.4	4	4	37	630.484
7.5	0	0	23.2039	550.504
7.5	0	1	0.5	996.893
7.5	0	2	246.5	678.306
7.5	0	3	9.5	1097.61
7.5	0	4	238.5	878.288
7.5	1	0	250	397.655
7.5	1	1	283.5	730.863
7.5	1	2	232	893.206
7.5	1	3	210.5	1008.06
7.5	1	4	207.843	875.013
7.5	2	0	6	911.371
7.5	2	1	69	401.561
7.5	2	2	8.5	1048.97
7.5	2	3	4.5	613.424
7.5	2	4	94.5	675.622
7.5	3	0	9.5	1191.36
7.5	3	1	6.5	817.624
7.5	3	2	5	1036.72
7.5	3	3	358.5	494.391
7.5	3	4	4.5	1012.08
7.5	4	0	300	946.766
7.5	4	1	54.5	633.501
7.5	4	2	262.5	1145.22
7.5	4	3	141	426.679
7.5	4	4	37	630.484
7.6	0	0	23.2039	550.504
7.6	0	1	0.5	996.893
7.6	0	2	246.5	678.306
7.6	0	3	9.5	1097.61
7.6	0	4	238.5	878.288
7.6	1	0	250	397.655
7.6	1	1	283.5	730.863
7.6	1	2	232	893.206
7.6	1	3	210.5	1008.06
7.6	1	4	207.843	875.013
7.6	2	0	6	911.371
7.6	2	1	69	401.561
7.6	2	2	8.5	1048.97
7.6	2	3	4.5	613.424
7.6	2	4	94.5	675.622
7.6	3	0	9.5	1191.36
7.6	3	1	6.5	817.624
7.6	3	2	5	1036.72
7.6	3	3	358.5	494.391
7.6	3	4	4.5	1012.08
7.6	4	0	300	946.766
7.6	4	1	54.5	633.501
7.6	4	2	262.5	1145.22
7.6	4	3	141	426.679
7.6	4	4	37	630.484
7.7	0	0	23.2039	550.504
7.7	0	1	0.5	996.893
7.7	0	2	246.5	678.306
7.7	0	3	9.5	1097.61
7.7	0	4	238.5	878.288
7.7	1	0	250	397.655
7.7	1	1	283.5	730.863
7.7	1	2	232	893.206
7.7	1	3	210.5	1008.06
7.7	1	4	207.843	875.013
7.7	2	0	6	911.371
7.7	2	1	69	401.561
7.7	2	2	8.5	1048.97
7.7	2	3	4.5	613.424
7.7	2	4	94.5	675.622
7.7	3	0	9.5	1191.36
7.7	3	1	6.5	817.624
7.7	3	2	5	1036.72
7.7	3	3	358.5	494.391
7.7	3	4	4.5	1012.08
7.7	4	0	300	946.766
7.7	4	1	54.5	633.501
7.7	4	2	262.5	1145.22
7.7	4	3	141	426.679
7.7	4	4	37	630.484
7.8	0	0	23.2039	550.504
7.8	0	1	0.5	996.893
7.8	0	2	246.5	678.306
7.8	0	3	9.5	1097.61
7.8	0	4	238.5	878.288
7.8	1	0	250	397.655
7.8	1	1	283.5	730.863
7.8	1	2	232	893.206
7.8	1	3	210.5	1008.06
7.8	1	4	207.843	875.013
7.8	2	0	6	911.371
7.8	2	1	69	401.561
7.8	2	2	8.5	1048.97
7.8	2	3	4.5	613.424
7.8	2	4	94.5	675.622
7.8	3	0	9.5	1191.36
7.8	3	1	6.5	817.624
7.8	3	2	5	1036.72
7.8	3	3	358.5	494.391
7.8	3	4	4.5	1012.08
7.8	4	0	300	946.766
7.8	4	1	54.5	633.501
7.8	4	2	262.5	1145.22
7.8	4	3	141	426.679
7.8	4	4	37	630.484
7.9	0	0	23.2039	550.504
7.9	0	1	0.5	996.893
7.9	0	2	246.5	678.306
7.9	0	3	9.5	1097.61
7.9	0	4	238.5	878.288
7.9	1	0	250	397.655
7.9	1	1	283.5	730.863
7.9	1	2	232	893.206
7.9	1	3	210.5	1008.06
7.9	1	4	207.843	875.013
7.9	2	0	6	911.371
7.9	2	1	69	401.561
7.9	2	2	8.5	1048.97
7.9	2	3	4.5	613.424
7.9	2	4	94.5	675.622
7.9	3	0	9.5	1191.36
7.9	3	1	6.5	817.624
7.9	3	2	5	1036.72
7.9	3	3	358.5	494.391
7.9	3	4	4.5	1012.08
7.9	4	0	300	946.766
7.9	4	1	54.5	633.501
7.9	4	2	262.5	1145.22
7.9	4	3	141	426.679
7.9	4	4	37	630.484
8	0	0	23.2039	550.504
8	0	1	0.5	996.893
8	0	2	246.5	678.306
8	0	3	9.5	1097.61
8	0	4	238.5	878.288
8	1	0	250	397.655
8	1	1	283.5	730.863
8	1	2	232	893.206
8	1	3	210.5	1008.06
8	1	4	207.843	875.013
8	2	0	6	911.371
8	2	1	69	401.561
8	2	2	8.5	1048.97
8	2	3	4.5	613.424
8	2	4	94.5	675.622
8	3	0	9.5	1191.36
8	3	1	6.5	817.624
8	3	2	5	1036.72
8	3	3	358.5	494.391
8	3	4	4.5	1012.08
8	4	0	300	946.766
8	4	1	54.5	633.501
8	4	2	262.5	1145.22
8	4	3	141	426.679
8	4	4	37	630.484
8.1	0	0	3.20385	589.795
8.1	0	1	0.5	1039.92
8.1	0	2	236.5	693.531
8.1	0	3	9.5	1105.28
8.1	0	4	228.5	899.11
8.1	1	0	210	445.669
8.1	1	1	263.5	775.464
8.1	1	2	195.41	925.556
8.1	1	3	167.846	1052.86
8.1	1	4	189.881	883.045
8.1	2	0	6	956.947
8.1	2	1	29	453.578
8.1	2	2	8.5	1124.59
8.1	2	3	4.5	618.243
8.1	2	4	64.5	683.688
8.1	3	0	9.5	1240.07
8.1	3	1	6.5	878.5
8.1	3	2	5	1070.03
8.1	3	3	338.5	519.811
8.1	3	4	4.5	1012.08
8.1	4	0	290	963.797
8.1	4	1	4.5	647.658
8.1	4	2	192.5	1221.17
8.1	4	3	114.301	466.265
8.1	4	4	10.3005	664.781
8.2	0	0	3.20385	589.795
8.2	0	1	0.5	1039.92
8.2	0	2	236.5	693.531
8.2	0	3	9.5	1105.28
8.2	0	4	228.5	899.11
8.2	1	0	210	445.669
8.2	1	1	263.5	775.464
8.2	1	2	195.41	925.556
8.2	1	3	167.846	1052.86
8.2	1	4	189.881	883.045
8.2	2	0	6	956.947
8.2	2	1	29	453.578
8.2	2	2	8.5	1124.59
8.2	2	3	4.5	618.243
8.2	2	4	64.5	683.688
8.2	3	0	9.5	1240.07
8.2	3	1	6.5	878.5
8.2	3	2	5	1070.03
8.2	3	3	338.5	519.811
8.2	3	4	4.5	1012.08
8.2	4	0	290	963.797
8.2	4	1	4.5	647.658
8.2	4	2	192.5	1221.17
8.2	4	3	114.301	466.265
8.2	4	4	10.3005	664.781
8.3	0	0	3.20385	589.795
8.3	0	1	0.5	1039.92
8.3	0	2	236.5	693.531
8.3	0	3	9.5	1105.28
8.3	0	4	228.5	899.11
8.3	1	0	210	445.669
8.3	1	1	263.5	775.464
8.3	1	2	195.41	925.556
8.3	1	3	167.846	1052.86
8.3	1	4	189.881	883.045
8.3	2	0	6	956.947
8.3	2	1	29	453.578
8.3	2	2	8.5	1124.59
8.3	2	3	4.5	618.243
8.3	2	4	64.5	683.688
8.3	3	0	9.5	1240.07
8.3	3	1	6.5	878.5
8.3	3	2	5	1070.03
8.3	3	3	338.5	519.811
8.3	3	4	4.5	1012.08
8.3	4	0	290	963.797
8.3	4	1	4.5	647.658
8.3	4	2	192.5	1221.17
8.3	4	3	114.301	466.265
8.3	4	4	10.3005	664.781
8.4	0	0	3.20385	589.795
8.4	0	1	0.5	1039.92
8.4	0	2	236.5	693.531
8.4	0	3	9.5	1105.28
8.4	0	4	228.5	899.11
8.4	1	0	210	445.669
8.4	1	1	263.5	775.464
8.4	1	2	195.41	925.556
8.4	1	3	167.846	1052.86
8.4	1	4	189.881	883.045
8.4	2	0	6	956.947
8.4	2	1	29	453.578
8.4	2	2	8.5	1124.59
8.4	2	3	4.5	618.243
8.4	2	4	64.5	683.688
8.4	3	0	9.5	1240.07
8.4	3	1	6.5	878.5
8.4	3	2	5	1070.03
8.4	3	3	338.5	519.811
8.4	3	4	4.5	1012.08
8.4	4	0	290	963.797
8.4	4	1	4.5	647.658
8.4	4	2	192.5	1221.17
8.4	4	3	114.301	466.265
8.4	4	4	10.3005	664.781
8.5	0	0	3.20385	589.795
8.5	0	1	0.5	1039.92
8.5	0	2	236.5	693.531
8.5	0	3	9.5	1105.28
8.5	0	4	228.5	899.11
8.5	1	0	210	445.669
8.5	1	1	263.5	775.464
8.5	1	2	195.41	925.556
8.5	1	3	167.846	1052.86
8.5	1	4	189.881	883.045
8.5	2	0	6	956.947
8.5	2	1	29	453.578
8.5	2	2	8.5	1124.59
8.5	2	3	4.5	618.243
8.5	2	4	64.5	683.688
8.5	3	0	9.5	1240.07
8.5	3	1	6.5	878.5
8.5	3	2	5	1070.03
8.5	3	3	338.5	519.811
8.5	3	4	4.5	1012.08
8.5	4	0	290	963.797
8.5	4	1	4.5	647.658
8.5	4	2	192.5	1221.17
8.5	4	3	114.301	466.265
8.5	4	4	10.3005	664.781
8.6	0	0	3.20385	589.795
8.6	0	1	0.5	1039.92
8.6	0	2	236.5	693.531
8.6	0	3	9.5	1105.28
8.6	0	4	228.5	899.11
8.6	1	0	210	445.669
8.6	1	1	263.5	775.464
8.6	1	2	195.41	925.556
8.6	1	3	167.846	1052.86
8.6	1	4	189.881	883.045
8.6	2	0	6	956.947
8.6	2	1	29	453.578
8.6	2	2	8.5	1124.59
8.6	2	3	4.5	618.243
8.6	2	4	64.5	683.688
8.6	3	0	9.5	1240.07
8.6	3	1	6.5	878.5
8.6	3	2	5	1070.03
8.6	3	3	338.5	519.811
8.6	3	4	4.5	1012.08
8.6	4	0	290	963.797
8.6	4	1	4.5	647.658
8.6	4	2	192.5	1221.17
8.6	4	3	114.301	466.265
8.6	4	4	10.3005	664.781
8.7	0	0	3.20385	589.795
8.7	0	1	0.5	1039.92
8.7	0	2	236.5	693.531
8.7	0	3	9.5	1105.28
8.7	0	4	228.5	899.11
8.7	1	0	210	445.669
8.7	1	1	263.5	775.464
8.7	1	2	195.41	925.556
8.7	1	3	167.846	1052.86
8.7	1	4	189.881	883.045
8.7	2	0	6	956.947
8.7	2	1	29	453.578
8.7	2	2	8.5	1124.59
8.7	2	3	4.5	618.243
8.7	2	4	64.5	683.688
8.7	3	0	9.5	1240.07
8.7	3	1	6.5	878.5
8.7	3	2	5	1070.03
8.7	3	3	338.5	519.811
8.7	3	4	4.5	1012.08
8.7	4	0	290	963.797
8.7	4	1	4.5	647.658
8.7	4	2	192.5	1221.17
8.7	4	3	114.301	466.265
8.7	4	4	10.3005	664.781
8.8	0	0	3.20385	589.795
8.8	0	1	0.5	1039.92
8.8	0	2	236.5	693.531
8.8	0	3	9.5	1105.28
8.8	0	4	228.5	899.11
8.8	1	0	210	445.669
8.8	1	1	263.5	775.464
8.8	1	2	195.41	925.556
8.8	1	3	167.846	1052.86
8.8	1	4	189.881	883.045
8.8	2	0	6	956.947
8.8	2	1	29	453.578
8.8	2	2	8.5	1124.59
8.8	2	3	4.5	618.243
8.8	2	4	64.5	683.688
8.8	3	0	9.5	1240.07
8.8	3	1	6.5	878.5
8.8	3	2	5	1070.03
8.8	3	3	338.5	519.811
8.8	3	4	4.5	1012.08
8.8	4	0	290	963.797
8.8	4	1	4.5	647.658
8.8	4	2	192.5	1221.17
8.8	4	3	114.301	466.265
8.8	4	4	10.3005	664.781
8.9	0	0	3.20385	589.795
8.9	0	1	0.5	1039.92
8.9	0	2	236.5	693.531
8.9	0	3	9.5	1105.28
8.9	0	4	228.5	899.11
8.9	1	0	210	445.669
8.9	1	1	263.5	775.464
8.9	1	2	195.41	925.556
8.9	1	3	167.846	1052.86
8.9	1	4	189.881	883.045
8.9	2	0	6	956.947
8.9	2	1	29	453.578
8.9	2	2	8.5	1124.59
8.9	2	3	4.5	618.243
8.9	2	4	64.5	683.688
8.9	3	0	9.5	1240.07
8.9	3	1	6.5	878.5
8.9	3	2	5	1070.03
8.9	3	3	338.5	519.811
8.9	3	4	4.5	1012.08
8.9	4	0	290	963.797
8.9	4	1	4.5	647.658
8.9	4	2	192.5	1221.17
8.9	4	3	114.301	466.265
8.9	4	4	10.3005	664.781
9	0	0	3.20385	589.795
9	0	1	0.5	1039.92
9	0	2	236.5	693.531
9	0	3	9.5	1105.28
9	0	4	228.5	899.11
9	1	0	210	445.669
9	1	1	263.5	775.464
9	1	2	195.41	925.556
9	1	3	167.846	1052.86
9	1	4	189.881	883.045
9	2	0	6	956.947
9	2	1	29	453.578
9	2	2	8.5	1124.59
9	2	3	4.5	618.243
9	2	4	64.5	683.688
9	3	0	9.5	1240.07
9	3	1	6.5	878.5
9	3	2	5	1070.03
9	3	3	338.5	519.811
9	3	4	4.5	1012.08
9	4	0	290	963.797
9	4	1	4.5	647.658
9	4	2	192.5	1221.17
9	4	3	114.301	466.265
9	4	4	10.3005	664.781
9.1	0	0	3.20385	653.927
9.1	0	1	0.5	1066.5
9.1	0	2	226.5	708.756
9.1	0	3	9.5	1115.49
9.1	0	4	208.5	917.468
9.1	1	0	190	458.851
9.1	1	1	233.5	816.339
9.1	1	2	138.916	1000.65
9.1	1	3	125.192	1105.37
9.1	1	4	174.573	890.785
9.1	2	0	6	996.198
9.1	2	1	9	515.495
9.1	2	2	8.5	1157.95
9.1	2	3	4.5	620.224
9.1	2	4	54.5	684.954
9.1	3	0	9.5	1309.34
9.1	3	1	6.5	923.956
9.1	3	2	5	1112.13
9.1	3	3	318.5	553.359
9.1	3	4	4.5	1037.32
9.1	4	0	260	983.761
9.1	4	1	4.5	653.616
9.1	4	2	142.5	1274.78
9.1	4	3	104.301	489.505
9.1	4	4	0.300513	699.54
9.2	0	0	3.20385	653.927
9.2	0	1	0.5	1066.5
9.2	0	2	226.5	708.756
9.2	0	3	9.5	1115.49
9.2	0	4	208.5	917.468
9.2	1	0	190	458.851
9.2	1	1	233.5	816.339
9.2	1	2	138.916	1000.65
9.2	1	3	125.192	1105.37
9.2	1	4	174.573	890.785
9.2	2	0	6	996.198
9.2	2	1	9	515.495
9.2	2	2	8.5	1157.95
9.2	2	3	4.5	620.224
9.2	2	4	54.5	684.954
9.2	3	0	9.5	1309.34
9.2	3	1	6.5	923.956
9.2	3	2	5	1112.13
9.2	3	3	318.5	553.359
9.2	3	4	4.5	1037.32
9.2	4	0	260	983.761
9.2	4	1	4.5	653.616
9.2	4	2	142.5	1274.78
9.2	4	3	104.301	489.505
9.2	4	4	0.300513	699.54
9.3	0	0	3.20385	653.927
9.3	0	1	0.5	1066.5
9.3	0	2	226.5	708.756
9.3	0	3	9.5	1115.49
9.3	0	4	208.5	917.468
9.3	1	0	190	458.851
9.3	1	1	233.5	816.339
9.3	1	2	138.916	1000.65
9.3	1	3	125.192	1105.37
9.3	1	4	174.573	890.785
9.3	2	0	6	996.198
9.3	2	1	9	515.495
9.3	2	2	8.5	1157.95
9.3	2	3	4.5	620.224
9.3	2	4	54.5	684.954
9.3	3	0	9.5	1309.34
9.3	3	1	6.5	923.956
9.3	3	2	5	1112.13
9.3	3	3	318.5	553.359
9.3	3	4	4.5	1037.32
9.3	4	0	260	983.761
9.3	4	1	4.5	653.616
9.3	4	2	142.5	1274.78
9.3	4	3	104.301	489.505
9.3	4	4	0.300513	699.54
9.4	0	0	3.20385	653.927
9.4	0	1	0.5	1066.5
9.4	0	2	226.5	708.756
9.4	0	3	9.5	1115.49
9.4	0	4	208.5	917.468
9.4	1	0	190	458.851
9.4	1	1	233.5	816.339
9.4	1	2	138.916	1000.65
9.4	1	3	125.192	1105.37
9.4	1	4	174.573	890.785
9.4	2	0	6	996.198
9.4	2	1	9	515.495
9.4	2	2	8.5	1157.95
9.4	2	3	4.5	620.224
9.4	2	4	54.5	684.954
9.4	3	0	9.5	1309.34
9.4	3	1	6.5	923.956
9.4	3	2	5	1112.13
9.4	3	3	318.5	553.359
9.4	3	4	4.5	1037.32
9.4	4	0	260	983.761
9.4	4	1	4.5	653.616
9.4	4	2	142.5	1274.78
9.4	4	3	104.301	489.505
9.4	4	4	0.300513	699.54
9.5	0	0	3.20385	653.927
9.5	0	1	0.5	1066.5
9.5	0	2	226.5	708.756
9.5	0	3	9.5	1115.49
9.5	0	4	208.5	917.468
9.5	1	0	190	458.851
9.5	1	1	233.5	816.339
9.5	1	2	138.916	1000.65
9.5	1	3	125.192	1105.37
9.5	1	4	174.573	890.785
9.5	2	0	6	996.198
9.5	2	1	9	515.495
9.5	2	2	8.5	1157.95
9.5	2	3	4.5	620.224
9.5	2	4	54.5	684.954
9.5	3	0	9.5	1309.34
9.5	3	1	6.5	923.956
9.5	3	2	5	1112.13
9.5	3	3	318.5	553.359
9.5	3	4	4.5	1037.32
9.5	4	0	260	983.761
9.5	4	1	4.5	653.616
9.5	4	2	142.5	1274.78
9.5	4	3	104.301	489.505
9.5	4	4	0.300513	699.54
9.6	0	0	3.20385	653.927
9.6	0	1	0.5	1066.5
9.6	0	2	226.5	708.756
9.6	0	3	9.5	1115.49
9.6	0	4	208.5	917.468
9.6	1	0	190	458.851
9.6	1	1	233.5	816.339
9.6	1	2	138.916	1000.65
9.6	1	3	125.192	1105.37
9.6	1	4	174.573	890.785
9.6	2	0	6	996.198
9.6	2	1	9	515.495
9.6	2	2	8.5	1157.95
9.6	2	3	4.5	620.224
9.6	2	4	54.5	684.954
9.6	3	0	9.5	1309.34
9.6	3	1	6.5	923.956
9.6	3	2	5	1112.13
9.6	3	3	318.5	553.359
9.6	3	4	4.5	1037.32
9.6	4	0	260	983.761
9.6	4	1	4.5	653.616
9.6	4	2	142.5	1274.78
9.6	4	3	104.301	489.505
9.6	4	4	0.300513	699.54
9.7	0	0	3.20385	653.927
9.7	0	1	0.5	1066.5
9.7	0	2	226.5	708.756
9.7	0	3	9.5	1115.49
9.7	0	4	208.5	917.468
9.7	1	0	190	458.851
9.7	1	1	233.5	816.339
9.7	1	2	138.916	1000.65
9.7	1	3	125.192	1105.37
9.7	1	4	174.573	890.785
9.7	2	0	6	996.198
9.7	2	1	9	515.495
9.7	2	2	8.5	1157.95
9.7	2	3	4.5	620.224
9.7	2	4	54.5	684.954
9.7	3	0	9.5	1309.34
9.7	3	1	6.5	923.956
9.7	3	2	5	1112.13
9.7	3	3	318.5	553.359
9.7	3	4	4.5	1037.32
9.7	4	0	260	983.761
9.7	4	1	4.5	653.616
9.7	4	2	142.5	1274.78
9.7	4	3	104.301	489.505
9.7	4	4	0.300513	699.54
9.8	0	0	3.20385	653.927
9.8	0	1	0.5	1066.5
9.8	0	2	226.5	708.756
9.8	0	3	9.5	1115.49
9.8	0	4	208.5	917.468
9.8	1	0	190	458.851
9.8	1	1	233.5	816.339
9.8	1	2	138.916	1000.65
9.8	1	3	125.192	1105.37
9.8	1	4	174.573	890.785
9.8	2	0	6	996.198
9.8	2	1	9	515.495
9.8	2	2	8.5	1157.95
9.8	2	3	4.5	620.224
9.8	2	4	54.5	684.954
9.8	3	0	9.5	1309.34
9.8	3	1	6.5	923.956
9.8	3	2	5	1112.13
9.8	3	3	318.5	553.359
9.8	3	4	4.5	1037.32
9.8	4	0	260	983.761
9.8	4	1	4.5	653.616
9.8	4	2	142.5	1274.78
9.8	4	3	104.301	489.505
9.8	4	4	0.300513	699.54
9.9	0	0	3.20385	653.927
9.9	0	1	0.5	1066.5
9.9	0	2	226.5	708.756
9.9	0	3	9.5	1115.49
9.9	0	4	208.5	917.468
9.9	1	0	190	458.851
9.9	1	1	233.5	816.339
9.9	1	2	138.916	1000.65
9.9	1	3	125.192	1105.37
9.9	1	4	174.573	890.785
9.9	2	0	6	996.198
9.9	2	1	9	515.495
9.9	2	2	8.5	1157.95
9.9	2	3	4.5	620.224
9.9	2	4	54.5	684.954
9.9	3	0	9.5	1309.34
9.9	3	1	6.5	923.956
9.9	3	2	5	1112.13
9.9	3	3	318.5	553.359
9.9	3	4	4.5	1037.32
9.9	4	0	260	983.761
9.9	4	1	4.5	653.616
9.9	4	2	142.5	1274.78
9.9	4	3	104.301	489.505
9.9	4	4	0.300513	699.54
10	0	0	3.20385	653.927
10	0	1	0.5	1066.5
10	0	2	226.5	708.756
10	0	3	9.5	1115.49
10	0	4	208.5	917.468
10	1	0	190	458.851
10	1	1	233.5	816.339
10	1	2	138.916	1000.65
10	1	3	125.192	1105.37
10	1	4	174.573	890.785
10	2	0	6	996.198
10	2	1	9	515.495
10	2	2	8.5	1157.95
10	2	3	4.5	620.224
10	2	4	54.5	684.954
10	3	0	9.5	1309.34
10	3	1	6.5	923.956
10	3	2	5	1112.13
10	3	3	318.5	553.359
10	3	4	4.5	1037.32
10	4	0	260	983.761
10	4	1	4.5	653.616
10	4	2	142.5	1274.78
10	4	3	104.301	489.505
10	4	4	0.300513	699.54
