t	i_ind	j_ind	S1	S2
3.2	4	1	244.5	479.375
3.2	4	2	452.5	935.006
3.2	4	3	251	240.54
3.2	4	4	167	471.711
3.3	0	0	149.5	417.699
3.3	0	1	0.5	809.677
3.3	0	2	366.5	546.895
3.3	0	3	9.5	966.919
3.3	0	4	328.5	765.272
3.3	1	0	360	260.233
3.3	1	1	463.5	500.245
3.3	1	2	402	625.34
3.3	1	3	280.5	880.827
3.3	1	4	338.5	776.453
3.3	2	0	196	545.78
3.3	2	1	159	249.704
3.3	2	2	58.5	967.655
3.3	2	3	54.5	502.775
3.3	2	4	304.5	486.821
3.3	3	0	39.5	993.084
3.3	3	1	6.5	591.004
3.3	3	2	145	829.913
3.3	3	3	498.5	293.618
3.3	3	4	74.5	953.619
3.3	4	0	460	754.065
3.3	4	1	244.5	479.375
3.3	4	2	452.5	935.006
3.3	4	3	251	240.54
3.3	4	4	167	471.711
3.4	0	0	149.5	417.699
3.4	0	1	0.5	809.677
3.4	0	2	366.5	546.895
3.4	0	3	9.5	966.919
3.4	0	4	328.5	765.272
3.4	1	0	360	260.233
3.4	1	1	463.5	500.245
3.4	1	2	402	625.34
3.4	1	3	280.5	880.827
3.4	1	4	338.5	776.453
3.4	2	0	196	545.78
3.4	2	1	159	249.704
3.4	2	2	58.5	967.655
3.4	2	3	54.5	502.775
3.4	2	4	304.5	486.821
3.4	3	0	39.5	993.084
3.4	3	1	6.5	591.004
3.4	3	2	145	829.913
3.4	3	3	498.5	293.618
3.4	3	4	74.5	953.619
3.4	4	0	460	754.065
3.4	4	1	244.5	479.375
3.4	4	2	452.5	935.006
3.4	4	3	251	240.54
3.4	4	4	167	471.711
3.5	0	0	149.5	417.699
3.5	0	1	0.5	809.677
3.5	0	2	366.5	546.895
3.5	0	3	9.5	966.919
3.5	0	4	328.5	765.272
3.5	1	0	360	260.233
3.5	1	1	463.5	500.245
3.5	1	2	402	625.34
3.5	1	3	280.5	880.827
3.5	1	4	338.5	776.453
3.5	2	0	196	545.78
3.5	2	1	159	249.704
3.5	2	2	58.5	967.655
3.5	2	3	54.5	502.775
3.5	2	4	304.5	486.821
3.5	3	0	39.5	993.084
3.5	3	1	6.5	591.004
3.5	3	2	145	829.913
3.5	3	3	498.5	293.618
3.5	3	4	74.5	953.619
3.5	4	0	460	754.065
3.5	4	1	244.5	479.375
3.5	4	2	452.5	935.006
3.5	4	3	251	240.54
3.5	4	4	167	471.711
3.6	0	0	149.5	417.699
3.6	0	1	0.5	809.677
3.6	0	2	366.5	546.895
3.6	0	3	9.5	966.919
3.6	0	4	328.5	765.272
3.6	1	0	360	260.233
3.6	1	1	463.5	500.245
3.6	1	2	402	625.34
3.6	1	3	280.5	880.827
3.6	1	4	338.5	776.453
3.6	2	0	196	545.78
3.6	2	1	159	249.704
3.6	2	2	58.5	967.655
3.6	2	3	54.5	502.775
3.6	2	4	304.5	486.821
3.6	3	0	39.5	993.084
3.6	3	1	6.5	591.004
3.6	3	2	145	829.913
3.6	3	3	498.5	293.618
3.6	3	4	74.5	953.619
3.6	4	0	460	754.065
3.6	4	1	244.5	479.375
3.6	4	2	452.5	935.006
3.6	4	3	251	240.54
3.6	4	4	167	471.711
3.7	0	0	149.5	417.699
3.7	0	1	0.5	809.677
3.7	0	2	366.5	546.895
3.7	0	3	9.5	966.919
3.7	0	4	328.5	765.272
3.7	1	0	360	260.233
3.7	1	1	463.5	500.245
3.7	1	2	402	625.34
3.7	1	3	280.5	880.827
3.7	1	4	338.5	776.453
3.7	2	0	196	545.78
3.7	2	1	159	249.704
3.7	2	2	58.5	967.655
3.7	2	3	54.5	502.775
3.7	2	4	304.5	486.821
3.7	3	0	39.5	993.084
3.7	3	1	6.5	591.004
3.7	3	2	145	829.913
3.7	3	3	498.5	293.618
3.7	3	4	74.5	953.619
